publish,score,title
[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,8.8,看不见的城市
[英] 毛姆 / 张柏然 / 上海译文出版社 / 2007-3 / 32.00元,9.0,人生的枷锁
[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,8.8,你当像鸟飞往你的山
[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,一个陌生女人的来信
严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.8,陆犯焉识
李娟 / 新星出版社 / 2012-6 / 29.80元,9.0,冬牧场
[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,9.1,献给阿尔吉侬的花束
[美] 孔飞力 / 陈兼 / 生活·读书·新知三联书店 上海三联书店 / 2012-5 / 38.00元,9.0,叫魂
[英] 王尔德 / 王林 / 译林出版社 / 2003-6 / 6.00元,9.1,王尔德童话
[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-10 / 62.00元,8.8,离开的，留下的
(德)叔本华 / 韦启昌 / 上海人民 / 2008-10-01 / 28.00元,9.2,人生的智慧
[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,9.0,金色梦乡
白先勇 / 广西师范大学出版社 / 2010.10 / 46.00元,9.1,孽子
[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.7,史蒂夫·乔布斯传
[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5,解忧杂货店
李泽厚 / 生活·读书·新知三联书店 / 2009-1-1 / 43.00元,9.2,美的历程
龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.7,孩子你慢慢来
刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,送你一颗子弹
少年儿童出版社 / 1962 / 30.00元,9.1,十万个为什么
[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,情书
龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,8.6,目送
三毛 / 哈尔滨出版社 / 2003-08 / 13.80,8.8,万水千山走遍
[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,9.1,经济学原理（上下）
龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.6,亲爱的安德烈
张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,8.7,倾城之恋
[挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元,8.8,苏菲的世界
[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,爱的艺术
安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43,9.1,海的女儿
刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,球状闪电
[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,尼罗河上的惨案
三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,9.1,温柔的夜
[美] 戴维·迈尔斯 / 张智勇 / 人民邮电出版社 / 2006-1 / 68.00元,9.0,社会心理学
[德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元,9.0,德米安
李碧华 / 人民文学出版社 / 1999-1 / 10.20元,9.1,霸王别姬
[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,荆棘鸟
[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.5,牧羊少年奇幻之旅
林达 / 生活·读书·新知三联书店 / 2004-08 / 21.80,8.8,总统是靠不住的
[日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7,罗生门
刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.7,一句顶一万句
李娟 / 万卷出版公司 / 2010-6 / 25.00元,9.1,阿勒泰的角落
金庸 / 三联书店 / 1999-04 / 47.00,8.6,倚天屠龙记(共四册)
[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,8.8,万物有灵且美
老舍 / 人民文学出版社 / 2002-1 / 9.80元,9.0,茶馆
八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.7,最好的我们
[葡] 若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50,9.1,失明症漫记
三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,8.7,雨季不再来
[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5,简爱（英文全本）
顾城 / 人民文学出版社 / 1998-12 / 20.00,8.8,顾城的诗
宗萨蒋扬钦哲仁波切 / 姚仁喜 / 中国友谊出版公司 / 2007-1 / 25.00元,8.8,正见
[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.6,水浒传（全二册）
[美] 路易斯·贾内梯 / 焦雄屏 / 世界图书出版公司 / 2007-11 / 68.00元,8.9,认识电影
[美] 欧文·斯通 / 常涛 / 北京十月文艺出版社 / 2008-4 / 29.80元,9.2,渴望生活
[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,9.2,罪与罚
纳训 / 人民文学出版社 / 2003-01 / 22.00,8.7,一千零一夜
[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-8 / 18.00元,8.7,人类的群星闪耀时
(日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00,9.0,厌女
[日] 岛田洋七 / 陈宝莲 / 南海出版公司 / 2007-3 / 20.00元,8.7,佐贺的超级阿嬷
